,title,author,author code,year,figures,description,genre,magazine
0,Kultura je když... /,"Kliment, Alexandr",jk01060558,1978,,estetika,úvahy,Spektrum
1,Hra o život /,"Dobrovský, Luboš",jn20000400479,1978,"Kundera, Milan",česká próza,studie,Spektrum
2,Památce Bohuslava Reynka /,"Jirousová, Věra",jn19990218035,1978,"Reynek, Bohuslav",čeští spisovatelé,studie,Spektrum
3,Joyceův zkušební návrat /,"Urbánek, Zdeněk",jk01140872,1978,"Joyce, James",anglicky psané drama,studie,Spektrum
4,Čas jako trvání a jako prázdnota /,"Černý, Václav",jk01021636,1979,,estetika,eseje,Spektrum
5,Archeologie času /,"Vašíček, Zdeněk",jk01141688,1979,,estetika,eseje,Spektrum
6,Z krajiny progresívní nepohody /,"Brabec, Jiří",jk01012890,1979,"Juliš, Emil",čeští spisovatelé,studie,Spektrum
7,Poznámky k T. G. Masarykovi a národnímu obrození /,"Doležal, Bohumil",jk01022603,1979,"Masaryk, Tomáš Garrigue",národní obrození;čeští spisovatelé,studie,Spektrum
8,Za Vítězslavem Gardavským /,"Šimsa, Jan",jn20000402827,1979,"Gardavský, Vítězslav",čeští spisovatelé,nekrology,Spektrum
9,Kantůrkové Sen o zlu /,Žalich,,1979,"Kantůrková, Eva",česká próza,recenze,Spektrum
10,Andrej Stankovič debutoval [...].,,,1979,"Stankovič, Andrej",čeští spisovatelé,bio-bibliografické poznámky,Spektrum
11,Rozhovor Magora s Brikciusem v hospodě u Lojzy /,"Jirous, Ivan Martin",jn19981001568,1979,"Brikcius, Eugen",happening (umění);čeští spisovatelé,biografické poznámky;rozhovory,Spektrum
12,Ad E. K. /,J. G,,1979,"Kantůrková, Eva",česká próza,poznámky,Spektrum
13,Esej o generaci /,"Kroutvor, Josef",jn99240000542,1979,"Kroutvor, Josef",estetika,eseje,Spektrum
14,"Dějiny, básník a mýtus :","Brabec, Jiří",jk01012890,1981,"Šiktanc, Karel",osobnosti,studie,"Spektrum : (London, Index on Censorship)"
15,Karel IV. v českých dějinách duchových /,"Kalista, Zdeněk",jk01052690,1981,Kare,osobnosti,studie,"Spektrum : (London, Index on Censorship)"
16,Filozof a Mistr /,"Uhde, Milan",jk01140606,1981,"Hus, Jan",osobnosti,eseje,"Spektrum : (London, Index on Censorship)"
17,Havlíčkova polemika s radikály a TGM /,(t.,,1981,"Havlíček Borovský, Karel;Masaryk, Tomáš Garrigue",osobnosti,studie,"Spektrum : (London, Index on Censorship)"
18,2x2 studie o Masarykovi /,"Němec, Jiří",jk01083071,1981,"Černý, Václav;Masaryk, Tomáš Garrigue;Patočka, Jan",osobnosti,recenze,"Spektrum : (London, Index on Censorship)"
19,"Na okraj ""Osmašedesátého"" /","Vohryzek, Josef",jk01150307,1981,"Pithart, Petr",osobnosti,recenze,"Spektrum : (London, Index on Censorship)"
20,O kulturní odkaz střední Evropy /,"Kundera, Milan",jk01070894,1981,"Hašek, Jaroslav;Kafka, Franz",osobnosti,eseje,"Spektrum : (London, Index on Censorship)"
21,Stanislav Mareš [...].,,,1981,"Mareš, Stanislav",osobnosti,biografické poznámky,"Spektrum : (London, Index on Censorship)"
22,Slavnost - hra - subjektivita /,"Neubauer, Zdeněk",jn19981228103,1981,"Klíma, Ladislav",osobnosti,studie,"Spektrum : (London, Index on Censorship)"
23,"Ptají se, já se kroutím, jak můžu, ale nakonec stejně vypovídám /","Lopatka, Jan",jk01072390,1981,"Lopatka, Jan;Bondy, Egon",osobnosti;samizdat,rozhovory,"Spektrum : (London, Index on Censorship)"
24,Esej o životě v ghettu /,"Kroutvor, Josef",jn99240000542,1981,,osobnosti,eseje,"Spektrum : (London, Index on Censorship)"
25,Demokracie a nezávislé společnosti :,"Kantůrková, Eva",jk01052883,1987,,literatura;samizdat,ankety;články;poznámky,Acta (Scheinfeld)
26,Pluralitní literatura /,"Šimečka, Milan",jk01123018,1987,,knižní trhy;literární tvorba;knihy;samizdatová literatura;exilová literatura,referáty,Acta (Scheinfeld)
27,Československé dokumentační středisko nezávislé literatury :,"Prečan, Vilém",jk01101002,1987,,spolky;archivy;dokumentační střediska;samizdatová literatura;exilová literatura,stati,Acta (Scheinfeld)
28,K terminologickým otázkám nezávislé literatury,,,1987,,samizdat;literatura pro děti,poznámky,Acta (Scheinfeld)
29,EDICE Nové cesty myšlení.,,,1987,,samizdat;literatura pro děti,soupisy;poznámky,Acta (Scheinfeld)
30,O jedné otázce :,"Havel, Václav",jk01040240,1987,,exil;samizdat;literární druhy;literatura pro děti;exilový tisk;samizdatové časopisy,články,Acta (Scheinfeld)
31,PŘEDBĚŽNÝ anotovaný seznam edice Petlice /,,,1987,,samizdat;literatura pro děti,bibliografie,Acta (Scheinfeld)
32,O Petlici na zámku Švarcenberku /,"Vaculík, Ludvík",jk01141068,1987,,samizdatové edice;samizdat;literatura pro děti a mládež,články,Acta (Scheinfeld)
33,První dojmy z časopisu O divadle /,"Goetz-Stankiewicz, Marketa",jn19981001345,1987,,samizdat;divadlo,recenze,Acta (Scheinfeld)
34,Nezávislý sociologický časopis v Československu /,"Kusin, Vladimir V.",mzk2002105346,1987,,samizdat;samizdatové časopisy;sociologie,recenze,Acta (Scheinfeld)
35,NEVÍTE o sborníku Psí? /,,,1987,,samizdat;antropologie,recenze,Acta (Scheinfeld)
36,Anotovaný obsah prvních dvou čísel časopisu O divadle /,"Prečan, Vilém",jk01101002,1987,,divadelní časopisy;časopisecké články,anotace,Acta (Scheinfeld)
37,SPRÁVA o Obsahu.,,,1987,,samizdat;samizdatové časopisy,recenze,Acta (Scheinfeld)
38,Imaginární interview s L. V. /,"Vaculík, Ludvík",jk01141068,1987,,exil;literární druhy;exilový tisk;česká literatura;slovenská literatura,referáty,Acta (Scheinfeld)
39,Nové knihy - pro memoria :,"Vladislav, Jan",jk01150006,1987,"Rotrekl, Zdeněk;Ponická, Hana",česká literatura;rumunská literatura,recenze,Acta (Scheinfeld)
40,Pět českých romanopisců se bere za věc světa /,"Goetz-Stankiewicz, Marketa",jn19981001345,1987,"Klíma, Ivan;Kundera, Milan;Gruša, Jiří;Vaculík, Ludvík;Škvorecký, Josef;Kosková, Helena",literární druhy;česká literatura,analýzy,Acta (Scheinfeld)
41,Putovní ghetto jejich osud /,"Gruša, Jiří",jk01032800,1987,,česká literatura;literární teorie,referáty,Acta (Scheinfeld)
42,Odpovědnost jako spisovatelův osud /,"Vladislav, Jan",jk01150006,1987,"Havel, Václav",literární druhy;osobnosti,studie,Acta (Scheinfeld)
43,DVAKRÁT Kautman.,,,1987,"Kautman, František;Vladislav, Jan;Martínek, Lubomír",osobnosti,recenze,Acta (Scheinfeld)
44,Projekt spisů Jana Patočky /,"Němec, Jiří",jk01083071,1987,"Patočka, Jan",sebrané spisy;edice;vydavatelská činnost;literární dílo;filozofické myšlení;filozofové,poznámky,Acta (Scheinfeld)
45,PROJEKT Spisů Jana Patočky - 2 /,,,1987,"Patočka, Jan",edice;vydavatelská činnost;literární dílo;filozofické myšlení;filozofové,komentáře,Acta (Scheinfeld)
46,SPISY Jana Patočky - diskusní tribuna.,,,1987,"Patočka, Jan;Kohák, Erazim;Novák;Vladislav, Jan",edice;vydavatelská činnost;literární dílo;filozofické myšlení;filozofové,poznámky,Acta (Scheinfeld)
47,Zvěstování Milana Uhdeho /,"Gruša, Jiří",jk01032800,1987,"Uhde, Milan",osobnosti,recenze,Acta (Scheinfeld)
48,Unesco cenzuruje českou a slovenskou poezii /,"Vladislav, Jan",jk01150006,1987,"Rzounek, Vítězslav;Wollman, Slavomír;Král, Petr",francouzská literatura,recenze,Acta (Scheinfeld)
49,Nový slovenský časopis /,Kubín,,1987,,samizdat;samizdatové časopisy;rumunská literatura,recenze,Acta (Scheinfeld)
50,Rapsódie a miniatúry /,"Vladislav, Jan",jk01150006,1987,"Kadlečík, Ivan",rumunská literatura,recenze,Acta (Scheinfeld)
51,Intelektuálové a moc v Československu :,"Rupnik, Jacques",jn19990007249,1988,,česká literatura;literatura,referáty,Acta (Scheinfeld)
52,ČASOPIS Střední Evropa.,,,1988,"Bohdan, Daniel;Šustrová, Petruška",samizdatové časopisy;regionální periodika;časopisecké články,recenze,Acta (Scheinfeld)
53,Historické studie 1978-1988 /,"Prečan, Vilém",jk01101002,1988,,dějiny,bibliografie,Acta (Scheinfeld)
54,Samizdatová periodika 1977-1988 /,"Prečan, Vilém",jk01101002,1988,,samizdat;samizdatové časopisy,bibliografie,Acta (Scheinfeld)
55,Skici k portrétům vzdorujících /,"Jungmann, Milan",jk01052189,1988,"Fuks, Ladislav;Páral, Vladimír;Hrabal, Bohumil;Pavel, Ota;Vaculík, Ludvík;Klánský, Mojmír;Pecka, Karel;Kantůrková, Eva;Trefulka, Jan;Putík, Jaroslav;Klíma, Ivan;Červenková, Jana;Kriseová, Eda;Gruša, Jiří;Brabcová, Zuzana",česká literatura;čeští spisovatelé;české spisovatelky,poznámky,Acta (Scheinfeld)
56,BENEFICIUM na paměť Bedřicha Fučíka,,,1988,"Fučík, Bedřich",osobnosti,zprávy,Acta (Scheinfeld)
57,Jan Hus Evy Kantůrkové /,"Rejchrt, Miloš",jn19990216153,1988,"Kantůrková, Eva",osobnosti,recenze,Acta (Scheinfeld)
58,K českému vydání Patočkových spisů /,"Prečan, Vilém",jk01101002,1988,"Patočka, Jan",literatura pro děti;osobnosti,poznámky,Acta (Scheinfeld)
59,Za Jiřím Theinerem :,"Havel, Václav",jk01040240,1988,"Theiner, Jiří",osobnosti,nekrology,Acta (Scheinfeld)
60,"Co jsou ""písačky"" /","Šimečka, Milan",jk01123018,1988,"Tatarka, Dominik",slovenská literatura,stati,Acta (Scheinfeld)
61,Politický esejista H.J. Hájek /,Vlaším,av20231184186,1958,Hájek,literatura,recenze,Archa (Mnichov)
62,Malá bilance :,Vlaším,av20231184186,1958,,literatura pro děti a mládež;exilová literatura;exilový tisk;edice;kulturní instituce a organizace,přehledy,Archa (Mnichov)
63,Revue Archa /,"Kratochvil, Antonín",jk01062954,1958,,regionální tisk;literární časopisy;exilový tisk,články,Archa (Mnichov)
64,Nad jedním omylem /,"Kratochvil, Antonín",jk01062954,1958,"Bernard, Vilém",česká literatura,recenze,Archa (Mnichov)
65,Hlas exilu v čísle :,"Kratochvil, Antonín",jk01062954,1958,,česká literatura,poznámky,Archa (Mnichov)
66,V říjnovém (6.) čísle Archy...,,,1958,,česká literatura,poznámky,Archa (Mnichov)
67,Otvírání studánek - na Vysočině a jinde /,"Den, Petr",jk01022204,1958,"Bureš, Miloslav;Černý, Václav",osobnosti,recenze,Archa (Mnichov)
68,Karel Čapek o komunismu /,Vlaším,av20231184186,1958,"Kratochvil, Antonín;Čapek, Karel",osobnosti,recenze,Archa (Mnichov)
69,Mlčící básník :,"Kratochvil, Antonín",jk01062954,1958,"Deml, Jakub",osobnosti,medailony,Archa (Mnichov)
70,Světlo naproti /,"Listopad, František",jk01072248,1958,"Listopad, František",literatura;osobnosti,eseje,Archa (Mnichov)
71,Venku a uvnitř :,"Listopad, František",jk01072248,1958,"Listopad, František",osobnosti,biografie,Archa (Mnichov)
72,Esej a fotografie /,Vlaším,av20231184186,1958,"Listopad, František",osobnosti,recenze,Archa (Mnichov)
73,Sedmá elegie Jiřího Ortena /,Benáček,kpwa1584,1958,"Orten, Jiří",osobnosti,eseje,Archa (Mnichov)
74,Román o exilu /,Němeček,mzk2007424201,1958,"Pluhař, Zdeněk",osobnosti,recenze,Archa (Mnichov)
75,Dílo Karla Schulze vychází ve Vatikáně /,"Kratochvil, Antonín",jk01062954,1958,"Schulz, Karel",osobnosti,úvahy,Archa (Mnichov)
76,Nad novou sbírkou M. Zlámala /,"Kratochvil, Antonín",jk01062954,1958,"Zlámal, Miloslav",rumunská literatura;osobnosti,recenze,Archa (Mnichov)
77,Svobodný člověk a moře :,"Listopad, František",jk01072248,1958,Saint-John Perse,finská literatura,studie,Archa (Mnichov)
78,"""Revisionismus"" maďarských spisovatelů /","Erban, Karel",jk01030518,1958,,lužickosrbská literatura;maďarští spisovatelé;revizionismus;literatura a ideologie,články,Archa (Mnichov)
79,Románová kronika z Plzně minulého století /,"Dresler, Jaroslav",jk01023057,1958,"Fussenegger, Gertrud;Grünwald, Leopold",maďarská literatura,recenze,Archa (Mnichov)
80,Přinášíme několik myšlenek... /,"Dresler, Jaroslav",jk01023057,1958,"Jaspers, Karl",maďarská literatura,poznámky,Archa (Mnichov)
81,Svědectví Marka Hlasko /,"Erban, Karel",jk01030519,1958,"Hłasko, Marek",polští spisovatelé;exiloví spisovatelé,články,Archa (Mnichov)
82,Dva hlasy z českého tisku o B.Pasternakovi /,"Kratochvil, Antonín",jk01062954,1958,"Pasternak, Boris Leonidovič",ruská literatura,komentáře,Archa (Mnichov)
83,Zemřel básník /,"Kratochvil, Antonín",jk01062954,1958,"Jiménez, Juan Ramón",řecká literatura,nekrology,Archa (Mnichov)
84,Literární sborníky v exilu /,Vlaším,av20231184186,1959,"Matějka, Ladislav;Vlach, Robert",česká literatura;exilová literatura;sborníky,recenze,Archa (Mnichov)
85,Více než fasády :,"Želivan, Pavel",xx0180607,1959,"Den, Petr",literatura,recenze,Archa (Mnichov)
86,Esej Felixe Mikuly /,Němeček,mzk2007424201,1959,"Mikula, Felix",literatura,recenze,Archa (Mnichov)
87,Zamyšlení nad Evropou /,"Kovárna, František",jk01062434,1959,,literatura,eseje,Archa (Mnichov)
88,Za jiný kraj ruce bych nespjal /,"Želivan, Pavel",xx0180607,1959,,literatura,eseje,Archa (Mnichov)
89,Nová kniha P.Pittra /,R,,1959,"Pitter, Přemysl",literatura,recenze,Archa (Mnichov)
90,30. mezinárodní kongres Penklubu :,,,1959,,literární druhy,referáty,Archa (Mnichov)
91,Dohra 30. kongresu Penklubu :,,,1959,,literární druhy,referáty,Archa (Mnichov)
92,Místo úvodu /,"Kratochvil, Antonín",jk01062954,1959,,,předmluvy,Archa (Mnichov)
93,Publikace a časopisy kulturní sekce Čs. uprchlického výboru v Německu.,,,1959,"Kratochvil, Antonín",exilový tisk;exilová literatura;časopisy pro děti;časopisy pro mládež;nakladatelské edice,seznamy,Archa (Mnichov)
94,I knihy mají své osudy /,"Kratochvil, Antonín",jk01062954,1959,,exilový tisk;exilová nakladatelství a vydavatelství;nakladatelské edice;exilová literatura,anotace,Archa (Mnichov)
95,Literatura katolických exulantů v době husitské /,"Želivan, Pavel",xx0180607,1959,,starší česká literatura,studie,Archa (Mnichov)
96,"Jubileum, ke kterému se hlásíme /","Kratochvil, Antonín",jk01062954,1959,,literární druhy;česká literatura,články,Archa (Mnichov)
97,"Sjezd ""socialistické kultury"" a básník František Hrubín /","Kratochvil, Antonín",jk01062954,1959,"Hrubín, František",česká literatura,komentáře;polemiky,Archa (Mnichov)
98,Říjnové uznání...,,,1959,"Čep, Jan",osobnosti,zprávy,Archa (Mnichov)
99,Více než fasády :,"Želivan, Pavel",xx0180607,1959,"Den, Petr",osobnosti,recenze,Archa (Mnichov)
100,Zemřel básník Jan Kárník.,,,1959,"Karník, Jan;Svítil, Josef",osobnosti,nekrology,Archa (Mnichov)
101,Na Hod boží vánoční...,,,1959,"Masák, Emanuel",osobnosti,medailony,Archa (Mnichov)
102,Dvacet let od smrti Arne Nováka /,"Kratochvil, Antonín",jk01062954,1959,"Novák, Arne",osobnosti,studie,Archa (Mnichov)
103,Šedesátiny Otakara Odložilíka /,"Kratochvil, Antonín",jk01062954,1959,"Odložilík, Otakar",osobnosti,medailony,Archa (Mnichov)
104,Případ Škvorecký /,"Kratochvil, Antonín",jk01062954,1959,"Škvorecký, Josef",osobnosti,komentáře,Archa (Mnichov)
105,Vlachova Princezna /,Němeček,mzk2007424201,1959,"Vlach, Robert",česká poezie,recenze,Archa (Mnichov)
106,Svědectví Štefana Spendera.,,,1959,"Spender, Stephen",bulharská literatura,články;úryvky,Archa (Mnichov)
107,Vítězství amerického černošského spisovatele :,,,1959,"Wright, Richard",bulharská literatura,biografie,Archa (Mnichov)
108,Čekání na Godota /,Kostka,,1959,"Beckett, Samuel",finská literatura,eseje,Archa (Mnichov)
109,Dopis nakladatelství Carl Schünemann v Brémách /,Čs.uprchlický výbo,,1959,,česká literatura,dopisy;kritiky,Archa (Mnichov)
110,Na návštěvě u Karl Jasperse /,"Jaspers, Karl",jn19990003999,1959,"Jaspers, Karl",německá literatura,rozhovory,Archa (Mnichov)
111,Navrátilec F. Kafka v lidovědemokratické Praze /,"Dresler, Jaroslav",jk01023057,1959,"Kafka, Franz;Reiman, Pavel;Hájek, Jiří;Eisner, Pavel;Dubský;Hrbek, Mojmír;Svoboda;Rozner, Ján;Sus, Oleg",židovská literatura,studie,Archa (Mnichov)
112,Zoufalství a vykoupení v díle Franze Kafky /,"Brod, Max",jk01013137,1959,"Kafka, Franz",maďarská literatura,úvahy,Archa (Mnichov)
113,Hřbitovy Marka Hlaska /,"Kratochvil, Antonín",jk01062954,1959,"Hłasko, Marek;Bena",německá literatura,poznámky k vydání,Archa (Mnichov)
114,Jan Křtitel moderní portugalské poezie :,"Listopad, František",jk01072248,1959,"Verde, Cesário",norská literatura,medailony,Archa (Mnichov)
115,Nad autobiografickým románem Ivana Šmeljova /,"Kratochvil, Antonín",jk01062954,1959,"Šmelev, Ivan Sergejevič",ruská literatura,recenze,Archa (Mnichov)
116,Literatura podkarpatských Rusínů v USA /,Černek,,1959,Maczkov,slovinská literatura,články,Archa (Mnichov)
117,ČSR a KSČ /,Mates,,1960,"Kopecký, Václav",literatura,recenze,Archa (Mnichov)
118,Nad třemi kongresy /,,,1960,"Jelínek, Ivan;Romanovski;Lesný",literární druhy,referáty,Archa (Mnichov)
119,Věznění spisovatelé /,Němeček,mzk2007424201,1960,"Albert;Beran, Josef;Berounský, Stanislav;Braito, Silvestr Maria;Dokulil, Jan;Fučík, Bedřich;Gojdič, Pavol;Hlouch, Josef;Jarolímek;Jehlička, Ladislav;Kajpr, Adolf;Kalista, Zdeněk;Karhan;Klíma, Vlastimil;Koch;Kostohryz, Josef;Křelina, František;Maršálek;Okáli, Daniel;Opasek, Anastáz;Palivec, Josef;Peška, Zdeněk;Prokůpek, Václav;Renč, Václav;Ryba, Bohumil;Skácel;Šilhan, Filip;Tajovský, Bohumil Vít;Trochta, Štěpán;Tyl;Urban;Vacková, Růžena;Zahradníček, Jan;Zela, Stanislav;Bár, Zdeněk;Dacík, Reginald Maria;Chytil, Václav;Kubeš;Rotrekl, Zdeněk;Suchý, Josef;Svobodová, Nina;Matocha, Josef;Valenta, Edvard;Urban, Milo;Kuncíř, Ladislav;Kletus-Petěrka;Knap, Josef;Mareš, Michal;Habáň, Metoděj;Kratochvil, Antonín",česká literatura;čeští spisovatelé;české spisovatelky,seznamy,Archa (Mnichov)
120,Paříž očima M. Šaška /,sv,,1960,"Šašek, Miroslav",osobnosti,glosy,Archa (Mnichov)
121,Co je člověk :,"Mikula, Felix",jk01081607,1960,"Škvorecký, Josef",osobnosti,recenze,Archa (Mnichov)
122,Případ Chochlov - :,Vlaším,av20231184186,1960,Chochlov,ruská literatura;překlady z ruštiny;překlady do němčiny,recenze,Archa (Mnichov)
123,Česká literatura v exilu /,"Jíra, Jaroslav",jk01051770,1960,,česká literatura,články,Archa (Mnichov)
124,Nová politická literatura v ČSR /,Mates,,1961,,česká literatura,recenze,Archa (Mnichov)
125,Dne 11. února t.r. zemřel v třebíčské nemocnici...,,,1961,"Deml, Jakub",osobnosti,zprávy,Archa (Mnichov)
126,Odysseus ve stopách Jobových /,Lesný,,1961,"Jelínek, Ivan",osobnosti,úvahy,Archa (Mnichov)
127,Román Poutník neznámých oceánů... /,Vlaším,av20231184186,1960,"Kratochvil, Antonín",osobnosti,recenze,Archa (Mnichov)
128,Pětasedmdesátiny Josefa Palivce /,"Kratochvil, Antonín",jk01062954,1961,"Palivec, Josef",osobnosti,medailony,Archa (Mnichov)
129,Jan Zahradníček /,"Kratochvil, Antonín",jk01062954,1961,"Zahradníček, Jan",osobnosti,nekrology,Archa (Mnichov)
130,Pražská Světová literatura...,,,1960,"Camus, Albert",finská literatura,glosy,Archa (Mnichov)
131,"Peter Demetz, :",,,1961,"Demetz, Peter;Urzidil, Johannes",maďarská literatura,zprávy,Archa (Mnichov)
132,Uměleckým profilem a vyprávěčským uměním... /,Sv,,1960,"Fussenegger, Gertrud;Putík, Jaroslav",maďarská literatura,polemiky,Archa (Mnichov)
133,Spor o Kafku /,A,,1961,"Kafka, Franz;Dresler, Jaroslav;Dubský, Ivan",židovská literatura;komunisté;komunismus,zprávy,Archa (Mnichov)
134,Ruská exilová literatura... /,Vlaším,av20231184186,1961,"Lania, Leo;Masaryk, Jan",maďarská literatura,poznámky,Archa (Mnichov)
135,"Hlaskův ""ráj"" /",Němeček,mzk2007424201,1961,"Hłasko, Marek",maďarská literatura;německá literatura,poznámky,Archa (Mnichov)
136,Nacionalismus na pranýři /,"Dresler, Jaroslav",jk01023057,1960,"Dross;Nowakowski, Tadeusz",německá literatura,recenze,Archa (Mnichov)
137,Pasternak stále živý /,Svoboda,,1961,"Kovtun, Jiří;Pasternak, Boris Leonidovič",ruská literatura,recenze,Archa (Mnichov)
138,Ukrajinská lyrika.,,,1960,"Hordyns'kyj, Svjatoslav;Kovtun, Jiří",slovinská literatura,referáty,Archa (Mnichov)
139,"Věda a demagogie čili ""scientia ad usum Delphini politici"" /",Lesný,,1961,,literatura,recenze,Archa (Mnichov)
140,Dějiny KSČ /,Mates,,1961,"Reiman, Pavel",literatura,recenze,Archa (Mnichov)
141,Dokončené dialogy /,"Bradáč, Ludvík",jk01012928,1962,"Kratochvil, Antonín",literární teorie,recenze,Archa (Mnichov)
142,Audiatur et altera pars /,"Kratochvil, Antonín",jk01062954,1961,"Kratochvil, Antonín;Herben, Ivan",česká literatura,polemiky,Archa (Mnichov)
143,Revizionistické tendence v současné čs. literatuře /,Rys,,1961,"Kratochvil, Antonín",česká literatura,recenze,Archa (Mnichov)
144,Vzpomínka na Eduarda Basse /,Láska,jx20050819022,1962,"Bass, Eduard",osobnosti,paměti,Archa (Mnichov)
145,Komunistické rozpaky nad Konstantinem Bieblem /,Zemek,,1961,"Biebl, Konstantin",osobnosti,medailony,Archa (Mnichov)
146,Křesťanská akademie v Římě... /,"Němeček, Josef",,1961,"Den, Petr",osobnosti,recenze,Archa (Mnichov)
147,Jaroslav Durych o estetice proletariátu /,"Dresler, Jaroslav",jk01023057,1962,"Durych, Jaroslav",osobnosti,komentáře,Archa (Mnichov)
148,Bloudění :,"Kratochvil, Antonín",jk01062954,1962,"Durych, Jaroslav;Brabec, Jiří",čeští spisovatelé;literární dílo,články,Archa (Mnichov)
149,Durychovy kulturně-politické úvodníky /,"Kratochvil, Antonín",jk01062954,1962,"Durych, Jaroslav",osobnosti,poznámky,Archa (Mnichov)
150,List z moderní kroniky /,Němeček,mzk2007424201,1962,"Feierabend, Ladislav Karel",osobnosti,recenze,Archa (Mnichov)
151,Básnická prvotina Přemka Kociána /,"Kratochvil, Antonín",jk01062954,1961,"Kocián, Přemek",osobnosti,recenze,Archa (Mnichov)
152,Nedožité osmdesátiny prof.dr. Josefa Kratochvila (1882-1940) /,r.s,,1962,"Kratochvil, Josef",osobnosti,medailony,Archa (Mnichov)
153,"Arena, mezinárodní literární revue Penklubu v Londýně...",,,1961,"Palivec, Josef;Kratochvil, Antonín",osobnosti,zprávy,Archa (Mnichov)
154,Na co se nezapomíná... /,Němeček,mzk2007424201,1962,"Svoboda, Květoslav",memoárová literatura,recenze,Archa (Mnichov)
155,V minulém čísle Archy...,,,1961,"Lania, Leo;Masaryk, Jan",maďarská literatura,recenze,Archa (Mnichov)
156,Básně z vězení /,"Kovtun, Jiří",jk01062535,1961,"Jesenin-Vol'pin, Aleksandr Sergejevič",ruská literatura,poznámky,Archa (Mnichov)
157,Rozšíření organizace exilových spisovatelů sdružených v Penklubu /,"Kratochvil, Antonín",jk01062954,1963,,literární druhy;maďarská literatura,zprávy,Archa (Mnichov)
158,Skaut-exulant /,Němeček,mzk2007424201,1963,,exilový tisk;časopisy pro mládež,recenze,Archa (Mnichov)
159,Perspektivy a Studie /,Svoboda,,1963,"Den, Petr;Vrána, Karel",literární žánry,recenze,Archa (Mnichov)
160,Povídky ze sobího království /,"Štěrba, Francisco Carlos",jn19981002479,1963,"Baby, J. K.",osobnosti,recenze,Archa (Mnichov)
161,Vídeňská pocta Františku Langrovi /,"Dresler, Jaroslav",jk01023057,1963,"Langer, František",osobnosti,referáty,Archa (Mnichov)
162,Vzpomínka na profesora Emanuela Rádla :,"Pitter, Přemysl",jk01093275,1963,"Rádl, Emanuel",osobnosti,medailony,Archa (Mnichov)
163,POZDRAVENÍ Zdenku Rotreklovi /,Red,,1963,"Rotrekl, Zdeněk",čeští spisovatelé,medailony,Archa (Mnichov)
164,K pevnému bodu /,Lesný,,1963,"Kavka, Jiří",osobnosti,eseje,Archa (Mnichov)
165,Nad novou prací Václava Lásky /,"Kratochvil, Antonín",jk01062954,1963,"Fernández Flórez, Wenceslao;Láska, Václav",španělská literatura,recenze,Archa (Mnichov)
166,Otřásající svědectví flámského misionáře :,"Kratochvil, Antonín",jk01062954,1963,"Van Coillie, Dries",srbochorvatská literatura,recenze,Archa (Mnichov)
167,Kde přestal pan Ferd. Peroutka? /,Konšel,,1951,"Peroutka, Ferdinand;Beneš, Edvard",literatura,polemiky,Bohemia
168,"Boříme špatné, vzápětí však budujeme lepší :",Janík-Horák,kpwa5007,1953,,exilová publicistika,články,Bohemia (Kolín nad Rýnem)
169,Dvě pozoruhodné knihy exilu /,Spectator,,1953,"Laušman, Bohumil",osobnosti,recenze,Bohemia (Kolín nad Rýnem)
170,Literatura království českého /,-sva,,1954,,dějiny české literatury,články,Bohemia (Kolín nad Rýnem)
171,Poezie doma a v exilu /,-sva,,1954,,česká literatura,komentáře,Bohemia (Kolín nad Rýnem)
172,K pátému výročí Bohemie /,Pekelský,kpwa5006,1955,,exilový tisk;výročí,úvodníky,Bohemia (Kolín nad Rýnem)
173,Zahradník českého komunismu :,Janík-Horák,kpwa5007,1955,"Firt, Julius",osobnosti,biografie,Bohemia (Kolín nad Rýnem)
174,RFE je americká propaganda :,Siriu,,1955,"Kohout, Jára",osobnosti,kritiky,Bohemia (Kolín nad Rýnem)
175,Perličky z 2.sjezdu čsl. spisovatelů /,MTP,,1956,,literární druhy;česká literatura,komentáře,Bohemia (Kolín nad Rýnem)
176,"Hledám, o co bych se opřel /",Reichenberger,,1956,"Biebl, Konstantin;Slabý, Zdeněk Karel",osobnosti,glosy,Bohemia (Kolín nad Rýnem)
177,Poctěno první cenou RFE :,Siriu,,1956,"Listopad, František",osobnosti,recenze,Bohemia (Kolín nad Rýnem)
178,Zachovejme národní soudržnost! :,Janík-Horák,kpwa5007,1956,"Peroutka, Ferdinand",osobnosti,kritiky,Bohemia (Kolín nad Rýnem)
179,Osamělý muž si píská v lese /,Reichenberger,,1956,"Peroutka, Ferdinand;Nezval, Vítězslav;Holan, Vladimír;Neumann, Stanislav Kostka",osobnosti,kritiky,Bohemia (Kolín nad Rýnem)
180,Dva bratři :,Benedikt,,1956,"Borin;Jariš, Milan",bulharská literatura,poznámky,Bohemia (Kolín nad Rýnem)
181,Svoboda literatury i umění a výchova lidu /,Wierer,,1957,,česká literatura;literární teorie,úvahy,Bohemia (Kolín nad Rýnem)
182,Portrét měsíce.,,,1957,"Baťa, Jan Antonín;Svatopluk, T.",osobnosti,portréty,Bohemia (Kolín nad Rýnem)
183,Rozhovor s autorem Čsl. tragédie /,Brouček,mzk2010573546,1957,Brouček,osobnosti;Československá tragédie,rozhovory,Bohemia (Kolín nad Rýnem)
184,Gornostaj a co ještě? /,Benedik,,1957,"Kaplický, Václav;Jariš, Milan",osobnosti,polemiky,Bohemia (Kolín nad Rýnem)
